s,x,y,theta,velocity
0.000000,-2.672600,2.504300,-1.243800,2.530000
0.037900,-2.660400,2.468400,-1.230000,2.453000
0.076000,-2.647200,2.432800,-1.204400,2.375000
0.114100,-2.633200,2.397500,-1.182800,2.422000
0.152200,-2.618400,2.362300,-1.165100,2.469000
0.190500,-2.603100,2.327300,-1.151400,2.515000
0.228800,-2.587300,2.292400,-1.141600,2.561000
0.267200,-2.571200,2.257600,-1.135600,2.605000
0.305600,-2.554900,2.222800,-1.133400,2.649000
0.343900,-2.538600,2.188100,-1.135100,2.692000
0.382300,-2.522500,2.153200,-1.140600,2.734000
0.420600,-2.506700,2.118400,-1.148600,2.776000
0.458900,-2.491100,2.083400,-1.156800,2.817000
0.497100,-2.475900,2.048300,-1.163800,2.858000
0.535300,-2.460900,2.013200,-1.169500,2.897000
0.573500,-2.446000,1.978000,-1.173800,2.937000
0.611600,-2.431300,1.942700,-1.176800,2.975000
0.649800,-2.416700,1.907500,-1.178400,3.014000
0.687900,-2.402200,1.872200,-1.178700,3.051000
0.726100,-2.387600,1.837000,-1.177700,3.089000
0.764200,-2.372900,1.801700,-1.175400,3.126000
0.802400,-2.358200,1.766500,-1.171800,3.162000
0.840600,-2.343300,1.731400,-1.167500,3.198000
0.878800,-2.328200,1.696300,-1.162800,3.234000
0.917000,-2.313000,1.661300,-1.157800,3.269000
0.955200,-2.297500,1.626300,-1.152500,3.304000
0.993400,-2.281900,1.591500,-1.147000,3.338000
1.031600,-2.266100,1.556700,-1.141100,3.372000
1.069800,-2.250100,1.522000,-1.134900,3.406000
1.108000,-2.233900,1.487400,-1.128400,3.440000
1.146200,-2.217400,1.453000,-1.121700,3.473000
1.184400,-2.200700,1.418600,-1.114600,3.506000
1.222600,-2.183700,1.384400,-1.107800,3.538000
1.260800,-2.166600,1.350300,-1.101700,3.570000
1.298900,-2.149200,1.316300,-1.096400,3.602000
1.337100,-2.131700,1.282300,-1.091800,3.634000
1.375300,-2.114000,1.248500,-1.088100,3.665000
1.413500,-2.096200,1.214700,-1.085200,3.697000
1.451700,-2.078400,1.180900,-1.083100,3.727000
1.489900,-2.060400,1.147200,-1.081800,3.758000
1.528100,-2.042500,1.113500,-1.081300,3.788000
1.566300,-2.024500,1.079800,-1.081600,3.819000
1.604500,-2.006600,1.046000,-1.082700,3.848000
1.642700,-1.988700,1.012300,-1.084400,3.878000
1.680900,-1.970900,0.978500,-1.086700,3.908000
1.719100,-1.953100,0.944700,-1.089700,3.937000
1.757300,-1.935500,0.910800,-1.093400,3.966000
1.795500,-1.918000,0.876800,-1.097600,3.995000
